nome,preco,descricao,url_imagem
Smartphone iPhone 15 Pro,8999.90,Smartphone premium com chip A17 Pro e câmera de 48MP,https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=500
Notebook MacBook Air M2,6999.90,Notebook ultraportátil com chip M2 e tela de 13.6 polegadas,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500
Fone AirPods Pro 2,1999.90,Fone sem fio com cancelamento de ruído ativo e áudio espacial,https://images.unsplash.com/photo-1606220945770-b5b6c2c55bf1?w=500
Smartwatch Apple Watch Ultra,3999.90,Relógio esportivo com GPS e resistência à água até 100m,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?w=500
Tablet iPad Pro 12.9,7999.90,Tablet profissional com chip M2 e tela Liquid Retina XDR,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500
Câmera Sony A7 IV,12999.90,Câmera mirrorless full-frame com sensor de 33MP e 4K,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=500
Monitor Dell UltraSharp 27,2999.90,Monitor 4K de 27 polegadas com 99% sRGB e USB-C,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500
Teclado Keychron K8,899.90,Teclado mecânico sem fio com switches Gateron e retroiluminação RGB,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500
Mouse Logitech MX Master 3S,599.90,Mouse sem fio ergonômico com sensor de 8000 DPI e bateria de 70 dias,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500
Webcam Logitech C920 Pro,799.90,Webcam HD 1080p com autofoco e microfone estéreo com cancelamento de ruído,https://images.unsplash.com/photo-1587560699334-cc4ff634909a?w=500
