nome,preco,descricao,url_imagem
Smartphone Samsung Galaxy S23,2999.90,Smartphone premium com câmera de 50MP e tela AMOLED de 6.1 polegadas,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500
Notebook Dell Inspiron 15,4599.90,Notebook para trabalho e estudos com processador Intel i7 e 16GB de RAM,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500
Fone de Ouvido Sony WH-1000XM4,1299.90,Fone de ouvido com cancelamento de ruído ativo e bateria de 30 horas,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
Smartwatch Apple Watch Series 9,3999.90,Relógio inteligente com GPS, monitoramento de saúde e resistência à água,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?w=500
Tablet iPad Air,3599.90,Tablet com tela de 10.9 polegadas, chip M1 e suporte ao Apple Pencil,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500
Câmera Canon EOS R6,8999.90,Câmera mirrorless profissional com sensor full-frame de 20MP,https://images.unsplash.com/photo-1502920917128-1aa500764cbd?w=500
Monitor LG UltraWide 34,1999.90,Monitor ultrawide de 34 polegadas com resolução 3440x1440 e taxa de 75Hz,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=500
Teclado Mecânico Logitech MX Keys,599.90,Teclado sem fio com retroiluminação e teclas de baixo perfil,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500
Mouse Logitech MX Master 3,399.90,Mouse sem fio ergonômico com scroll ultrarrápido e bateria de 70 dias,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500
Webcam Logitech C920,699.90,Webcam HD 1080p com autofoco e microfone estéreo integrado,https://images.unsplash.com/photo-1587560699334-cc4ff634909a?w=500
